from,to,weight
NYT,StLPD,2
NYT,JoKa,3
NYT,MeTw,3
NYT,RoFa,2
NYT,WaPo,2
NYT,UsTo,2
NYT,CiEn,2
NYT,ClBa,1
NYT,AnMa,1
NYT,RaKaGh,3
NYT,JoAr,1
NYT,JeSa,2
NYT,AnDo,2
NYT,JaHa,3
NYT,MiSl,3
NYT,RyKe,1
NYT,AsPr,2
NYT,LAT,2
NYT,LLA,1
NYT,AnCo,2
NYT,MiBr,1
NYT,TCM,2
NYT,KeAr,2
NYT,MiLa,3
NYT,CaFi,1
NYT,LiGa,1
NYT,AJR,3
NYT,KaSc,2
NYT,FaSt,3
NYT,EmNu,2
NYT,BrGl,2
NYT,JaOh,1
NYT,MaLi,2
NYT,SePo,2
NYT,TyHi,3
NYT,DaEt,2
NYT,JeRi,1
NYT,GU,2
NYT,BG,2
NYT,ChHa,3
NYT,ElSa,2
NYT,WiHo,1
NYT,DaPh,3
NYT,JaSz,1
NYT,StHe,1
NYT,KeSi,2
NYT,JosHa,3
DaFa,ChCh,1
DaFa,PeNo,1
DaFa,ArCu,1
DaFa,JiMo,1
DaFa,PaC,2
DaFa,ST,2
DaFa,ErLi,2
DaFa,ZaMi,2
DaFa,RoKu,2
DaFa,ReKi,1
DaFa,CaLe,3
DaFa,LiFa,1
DaFa,MaMc,1
DaFa,KaKi,1
DaFa,AdZy,1
DaFa,JoKa,1
DaFa,MeTw,1
DaFa,RoFa,1
DaFa,PrDe,2
DaFa,WaPo,3
DaFa,UsTo,2
DaFa,CiEn,2
DaFa,AnMa,1
DaFa,JeSa,1
DaFa,AsPr,2
DaFa,LAT,2
DaFa,LLA,1
DaFa,AnCo,1
DaFa,TCM,1
DaFa,CaFi,1
DaFa,LiGa,1
DaFa,AJR,1
DaFa,FaSt,1
DaFa,EmNu,2
DaFa,JaOh,1
DaFa,DaEt,1
DaFa,JeRi,1
DaFa,GU,2
DaFa,BG,2
DaFa,ChHa,1
DaFa,ElSa,3
DaFa,WiHo,1
DaFa,DaPh,1
DaFa,JaSz,1
DaFa,InSa,1
DaFa,OR,2
DaFa,KeSi,1
ChCh,ST,2
ChCh,ErLi,3
ChCh,KaKi,3
ChCh,StLPD,2
ChCh,JoKa,3
ChCh,MeTw,3
ChCh,RoFa,1
ChCh,WaPo,2
ChCh,UsTo,2
ChCh,AnMa,1
ChCh,LAT,2
ChCh,LLA,1
ChCh,TCM,1
ChCh,MiLa,3
ChCh,CaFi,1
ChCh,AJR,3
ChCh,KaSc,1
ChCh,FaSt,3
ChCh,EmNu,1
ChCh,MaLi,2
ChCh,SePo,2
ChCh,TyHi,3
ChCh,DaEt,1
ChCh,GU,2
ChCh,BG,2
ChCh,ChHa,3
ChCh,WiHo,1
ChCh,DaPh,3
ChCh,JaSz,1
ChCh,OR,2
ChCh,JosHa,3
PeNo,ST,2
PeNo,LiFa,1
PeNo,JoKa,2
PeNo,MeTw,2
PeNo,RoFa,2
PeNo,WaPo,3
PeNo,JoAr,1
PeNo,JeSa,2
PeNo,AsPr,2
PeNo,LAT,2
PeNo,FaSt,1
PeNo,EmNu,1
PeNo,GU,2
PeNo,BG,2
PeNo,WiHo,1
PeNo,OR,2
HiAl,KaSc,3
HiAl,EmNu,2
HiAl,GU,2
ArCu,PaC,2
ArCu,ST,2
ArCu,WaPo,2
ArCu,AsPr,2
ArCu,LAT,2
ArCu,GU,2
JiMo,AdZy,1
JiMo,WaPo,2
JiMo,AsPr,1
JiMo,JaOh,1
JiMo,GU,1
JiMo,BG,1
JiMo,KeSi,1
JaWa,ST,2
JaWa,StLPD,2
JaWa,PrDe,2
JaWa,WaPo,2
JaWa,ArRe,2
JaWa,JeSa,1
JaWa,LAT,2
JaWa,SePo,1
JaWa,GU,2
JaWa,BG,2
PaC,ST,2
PaC,CaLe,2
PaC,RoFa,2
PaC,WaPo,2
PaC,AsPr,1
PaC,TCM,1
PaC,MaLi,2
